transaction_id,Store,Country,SKU,Date,Channel,Promotion,Units Sold,Unit Price,Discount,Revenue,Margin %,Margin
TXN_020001,Amazon Fresh,Canada,Ferrero Rocher 24pc,19-02-2026,Retail,None,169,620,0.0,104780.0,35,36673.0
TXN_020002,Tesco,USA,Ferrero Rocher T3,19-02-2026,Online,None,212,121,0.0,25652.0,40,10260.8
TXN_020003,Carrefour,Canada,Ferrero Rocher 32pc,18-02-2026,Offline,None,79,748,0.0,59092.0,29,17136.68
TXN_020004,Walmart,Canada,Ferrero Rocher 32pc,16-02-2026,Offline,Valentine Promo,30,707,0.15,18028.5,28,5047.98
TXN_020005,Tesco,USA,Ferrero Rocher 16pc,16-02-2026,Retail,None,145,484,0.0,70180.0,33,23159.4
TXN_020006,Costco,UAE,Ferrero Rocher T3,16-02-2026,Online,None,74,130,0.0,9620.0,35,3367.0
TXN_020007,Carrefour,Canada,Ferrero Rocher 16pc,16-02-2026,Retail,None,227,474,0.0,107598.0,32,34431.36
TXN_020008,Walmart,Australia,Ferrero Collection 15pc,16-02-2026,Online,Valentine Promo,161,615,0.15,84162.75,36,30298.59
TXN_020009,Walmart,Singapore,Ferrero Rocher 16pc,19-02-2026,Retail,Christmas Promo,41,489,0.25,15036.75,32,4811.76
TXN_020010,Amazon Fresh,Australia,Ferrero Collection 15pc,16-02-2026,Retail,None,76,613,0.0,46588.0,33,15374.04
TXN_020011,Walmart,Singapore,Ferrero Rocher 32pc,21-02-2026,Retail,Diwali Promo,149,741,0.15,93847.65,30,28154.29
TXN_020012,Walmart,Singapore,Ferrero Rocher T3,20-02-2026,Wholesale,Diwali Promo,134,140,0.15,15946.0,25,3986.5
TXN_020013,Carrefour,Australia,Ferrero Rocher 24pc,22-02-2026,Retail,None,185,609,0.0,112665.0,32,36052.8
TXN_020014,Costco,USA,Ferrero Rocher 24pc,16-02-2026,Offline,NewYear Sale,65,616,0.2,32032.0,29,9289.28
TXN_020015,Walmart,USA,Ferrero Rocher 32pc,21-02-2026,Offline,None,186,726,0.0,135036.0,30,40510.8
TXN_020016,Tesco,Australia,Ferrero Rocher T3,21-02-2026,Offline,Christmas Promo,31,147,0.25,3417.75,28,956.97
TXN_020017,Carrefour,Singapore,Ferrero Collection 15pc,16-02-2026,Offline,None,19,650,0.0,12350.0,33,4075.5
TXN_020018,Costco,Australia,Ferrero Rocher 32pc,17-02-2026,Retail,None,129,726,0.0,93654.0,35,32778.9
TXN_020019,Tesco,UAE,Ferrero Rocher 16pc,20-02-2026,Offline,Christmas Promo,159,479,0.25,57120.75,31,17707.43
TXN_020020,Amazon Fresh,USA,Ferrero Rocher 24pc,17-02-2026,Offline,None,42,645,0.0,27090.0,33,8939.7
TXN_020021,Amazon Fresh,Canada,Ferrero Rocher 16pc,16-02-2026,Offline,None,103,477,0.0,49131.0,31,15230.61
TXN_020022,Carrefour,USA,Ferrero Collection 15pc,20-02-2026,Wholesale,Buy1Get1,250,604,0.5,75500.0,26,19630.0
TXN_020023,Carrefour,USA,Ferrero Rocher 32pc,17-02-2026,Offline,None,46,718,0.0,33028.0,29,9578.12
TXN_020024,Amazon Fresh,Australia,Ferrero Rocher T3,21-02-2026,Retail,None,108,120,0.0,12960.0,33,4276.8
TXN_020025,Walmart,Australia,Ferrero Rocher 24pc,18-02-2026,Online,None,28,634,0.0,17752.0,39,6923.28
TXN_020026,Carrefour,Singapore,Ferrero Rocher 32pc,20-02-2026,Wholesale,None,34,740,0.0,25160.0,28,7044.8
TXN_020027,Amazon Fresh,UAE,Ferrero Rocher 16pc,19-02-2026,Retail,None,174,489,0.0,85086.0,32,27227.52
TXN_020028,Tesco,USA,Ferrero Rocher T3,17-02-2026,Online,None,250,147,0.0,36750.0,38,13965.0
TXN_020029,Carrefour,UK,Ferrero Rocher 32pc,21-02-2026,Online,None,184,705,0.0,129720.0,40,51888.0
TXN_020030,Amazon Fresh,Canada,Ferrero Rocher T3,21-02-2026,Retail,Christmas Promo,141,140,0.25,14805.0,30,4441.5
TXN_020031,Costco,Canada,Ferrero Rocher T3,19-02-2026,Retail,NewYear Sale,133,132,0.2,14044.8,31,4353.89
TXN_020032,Costco,Australia,Ferrero Rocher 24pc,19-02-2026,Retail,None,142,625,0.0,88750.0,35,31062.5
TXN_020033,Amazon Fresh,Australia,Ferrero Rocher 24pc,19-02-2026,Retail,None,74,611,0.0,45214.0,34,15372.76
TXN_020034,Costco,UK,Ferrero Collection 15pc,17-02-2026,Wholesale,None,249,616,0.0,153384.0,28,42947.52
TXN_020035,Costco,India,Ferrero Rocher 24pc,18-02-2026,Online,None,213,648,0.0,138024.0,37,51068.88
TXN_020036,Tesco,Australia,Ferrero Rocher 16pc,18-02-2026,Retail,Diwali Promo,65,476,0.15,26299.0,33,8678.67
TXN_020037,Carrefour,UAE,Ferrero Collection 15pc,22-02-2026,Wholesale,Diwali Promo,11,606,0.15,5666.1,28,1586.51
TXN_020038,Amazon Fresh,UAE,Ferrero Rocher 24pc,17-02-2026,Retail,None,146,648,0.0,94608.0,30,28382.4
TXN_020039,Walmart,Singapore,Ferrero Rocher 24pc,22-02-2026,Wholesale,Buy1Get1,97,638,0.5,30943.0,29,8973.47
TXN_020040,Walmart,UAE,Ferrero Rocher 32pc,16-02-2026,Wholesale,None,201,731,0.0,146931.0,27,39671.37
TXN_020041,Tesco,Canada,Ferrero Collection 15pc,17-02-2026,Online,Diwali Promo,76,624,0.15,40310.4,36,14511.74
TXN_020042,Costco,Australia,Ferrero Rocher 16pc,17-02-2026,Retail,Christmas Promo,139,487,0.25,50769.75,34,17261.72
TXN_020043,Costco,Singapore,Ferrero Rocher 16pc,22-02-2026,Retail,None,119,490,0.0,58310.0,33,19242.3
TXN_020044,Carrefour,Canada,Ferrero Rocher 16pc,18-02-2026,Retail,None,119,496,0.0,59024.0,34,20068.16
TXN_020045,Tesco,USA,Ferrero Rocher 32pc,16-02-2026,Wholesale,Diwali Promo,176,732,0.15,109507.2,30,32852.16
TXN_020046,Walmart,Australia,Ferrero Rocher 32pc,17-02-2026,Online,None,99,724,0.0,71676.0,38,27236.88
TXN_020047,Carrefour,UAE,Ferrero Rocher 24pc,16-02-2026,Retail,None,34,632,0.0,21488.0,30,6446.4
TXN_020048,Carrefour,Singapore,Ferrero Rocher 16pc,21-02-2026,Online,None,156,470,0.0,73320.0,38,27861.6
TXN_020049,Walmart,UK,Ferrero Rocher T3,20-02-2026,Offline,None,59,143,0.0,8437.0,33,2784.21
TXN_020050,Amazon Fresh,India,Ferrero Rocher 16pc,21-02-2026,Online,None,127,481,0.0,61087.0,37,22602.19
TXN_020051,Costco,Canada,Ferrero Rocher 32pc,18-02-2026,Offline,None,59,710,0.0,41890.0,33,13823.7
TXN_020052,Walmart,Singapore,Ferrero Rocher 16pc,20-02-2026,Offline,None,82,465,0.0,38130.0,32,12201.6
TXN_020053,Tesco,India,Ferrero Rocher 32pc,21-02-2026,Offline,None,65,750,0.0,48750.0,31,15112.5
TXN_020054,Carrefour,UAE,Ferrero Rocher 32pc,22-02-2026,Offline,NewYear Sale,143,706,0.2,80766.4,30,24229.92
TXN_020055,Tesco,India,Ferrero Rocher 16pc,22-02-2026,Wholesale,None,228,471,0.0,107388.0,26,27920.88
TXN_020056,Amazon Fresh,Australia,Ferrero Rocher T3,17-02-2026,Retail,None,68,139,0.0,9452.0,31,2930.12
TXN_020057,Costco,Canada,Ferrero Collection 15pc,18-02-2026,Retail,Diwali Promo,134,625,0.15,71187.5,34,24203.75
TXN_020058,Amazon Fresh,Canada,Ferrero Rocher 16pc,20-02-2026,Wholesale,Christmas Promo,46,455,0.25,15697.5,30,4709.25
TXN_020059,Tesco,USA,Ferrero Rocher 24pc,22-02-2026,Wholesale,Christmas Promo,19,622,0.25,8863.5,26,2304.51
TXN_020060,Tesco,USA,Ferrero Rocher 16pc,18-02-2026,Wholesale,Buy1Get1,58,469,0.5,13601.0,29,3944.29
TXN_020061,Carrefour,USA,Ferrero Rocher T3,17-02-2026,Wholesale,None,29,147,0.0,4263.0,26,1108.38
TXN_020062,Amazon Fresh,Canada,Ferrero Rocher T3,22-02-2026,Online,Valentine Promo,218,132,0.15,24459.6,38,9294.65
TXN_020063,Costco,UK,Ferrero Rocher 16pc,21-02-2026,Wholesale,Buy1Get1,141,454,0.5,32007.0,26,8321.82
TXN_020064,Tesco,Australia,Ferrero Rocher 24pc,17-02-2026,Offline,None,136,633,0.0,86088.0,28,24104.64
TXN_020065,Costco,USA,Ferrero Rocher 16pc,19-02-2026,Retail,Diwali Promo,91,485,0.15,37514.75,33,12379.87
TXN_020066,Amazon Fresh,USA,Ferrero Rocher 32pc,16-02-2026,Retail,None,237,703,0.0,166611.0,34,56647.74
TXN_020067,Amazon Fresh,Australia,Ferrero Rocher T3,19-02-2026,Online,None,70,135,0.0,9450.0,36,3402.0
TXN_020068,Carrefour,UK,Ferrero Rocher 16pc,16-02-2026,Offline,NewYear Sale,26,478,0.2,9942.4,32,3181.57
TXN_020069,Amazon Fresh,UK,Ferrero Rocher 24pc,16-02-2026,Retail,Valentine Promo,121,605,0.15,62224.25,33,20534.0
TXN_020070,Carrefour,Australia,Ferrero Rocher 32pc,16-02-2026,Wholesale,None,24,730,0.0,17520.0,26,4555.2
TXN_020071,Amazon Fresh,Singapore,Ferrero Rocher 32pc,19-02-2026,Online,None,50,718,0.0,35900.0,38,13642.0
TXN_020072,Carrefour,USA,Ferrero Rocher T3,21-02-2026,Online,Diwali Promo,250,134,0.15,28475.0,40,11390.0
TXN_020073,Tesco,UAE,Ferrero Rocher 16pc,20-02-2026,Online,NewYear Sale,77,472,0.2,29075.2,40,11630.08
TXN_020074,Amazon Fresh,USA,Ferrero Collection 15pc,16-02-2026,Wholesale,Valentine Promo,45,640,0.15,24480.0,26,6364.8
TXN_020075,Tesco,India,Ferrero Collection 15pc,19-02-2026,Offline,None,157,630,0.0,98910.0,30,29673.0
TXN_020076,Costco,UK,Ferrero Rocher 24pc,20-02-2026,Retail,Buy1Get1,228,625,0.5,71250.0,32,22800.0
TXN_020077,Amazon Fresh,Canada,Ferrero Collection 15pc,20-02-2026,Online,None,122,625,0.0,76250.0,40,30500.0
TXN_020078,Walmart,Canada,Ferrero Rocher 24pc,21-02-2026,Online,None,221,640,0.0,141440.0,39,55161.6
TXN_020079,Costco,Singapore,Ferrero Rocher 32pc,17-02-2026,Online,None,35,747,0.0,26145.0,40,10458.0
TXN_020080,Carrefour,UK,Ferrero Rocher 32pc,16-02-2026,Offline,Valentine Promo,142,747,0.15,90162.9,31,27950.5
TXN_020081,Carrefour,Australia,Ferrero Rocher 24pc,22-02-2026,Retail,Christmas Promo,51,615,0.25,23523.75,32,7527.6
TXN_020082,Amazon Fresh,India,Ferrero Rocher 16pc,20-02-2026,Offline,Buy1Get1,118,479,0.5,28261.0,33,9326.13
TXN_020083,Walmart,India,Ferrero Rocher 16pc,17-02-2026,Retail,None,202,485,0.0,97970.0,35,34289.5
TXN_020084,Carrefour,USA,Ferrero Collection 15pc,20-02-2026,Online,NewYear Sale,236,610,0.2,115168.0,36,41460.48
TXN_020085,Tesco,India,Ferrero Rocher 32pc,18-02-2026,Wholesale,Valentine Promo,59,704,0.15,35305.6,28,9885.57
TXN_020086,Carrefour,UAE,Ferrero Collection 15pc,20-02-2026,Online,None,82,614,0.0,50348.0,37,18628.76
TXN_020087,Tesco,UAE,Ferrero Rocher 16pc,22-02-2026,Online,None,133,462,0.0,61446.0,38,23349.48
TXN_020088,Amazon Fresh,USA,Ferrero Rocher 16pc,18-02-2026,Offline,None,138,480,0.0,66240.0,29,19209.6
TXN_020089,Costco,USA,Ferrero Rocher 16pc,22-02-2026,Online,None,202,495,0.0,99990.0,37,36996.3
TXN_020090,Carrefour,Australia,Ferrero Collection 15pc,17-02-2026,Wholesale,None,10,620,0.0,6200.0,25,1550.0
TXN_020091,Walmart,UAE,Ferrero Rocher 32pc,18-02-2026,Online,Buy1Get1,36,724,0.5,13032.0,35,4561.2
TXN_020092,Tesco,India,Ferrero Rocher 32pc,16-02-2026,Retail,Valentine Promo,178,708,0.15,107120.4,33,35349.73
TXN_020093,Carrefour,Singapore,Ferrero Rocher 16pc,17-02-2026,Offline,None,10,492,0.0,4920.0,32,1574.4
TXN_020094,Carrefour,USA,Ferrero Rocher 16pc,17-02-2026,Retail,None,240,500,0.0,120000.0,30,36000.0
TXN_020095,Tesco,UK,Ferrero Rocher 32pc,20-02-2026,Wholesale,None,39,723,0.0,28197.0,25,7049.25
TXN_020096,Walmart,Singapore,Ferrero Rocher 32pc,22-02-2026,Wholesale,Christmas Promo,126,711,0.25,67189.5,25,16797.38
TXN_020097,Costco,UK,Ferrero Rocher 32pc,22-02-2026,Offline,None,76,717,0.0,54492.0,31,16892.52
